ParticleType,Energy
pi-,342.84
2pi-,341.088
2pi-,341.088
pi+,340.058
pi+,340.058
pi+,340.058
2pi+,339.095
2pi+,339.095
2pi+,339.095
pi+,407.125
pi+,407.125
2pi+,406.144
2pi+,406.144
pi-,1502.23
pi-,1502.23
2pi-,1501.13
2pi-,1501.13
pi-,218.228
pi-,218.228
2pi-,216.634
2pi-,216.634
pi-,858.529
pi-,858.529
2pi-,857.485
2pi-,857.485
pi+,1393.76
pi+,1393.76
2pi+,1392.26
2pi+,1392.26
pi+,345.213
pi+,345.213
2pi+,344.296
2pi+,344.296
pi-,507.124
pi-,507.124
2pi-,505.841
2pi-,505.841
pi+,182.561
pi+,182.561
pi+,182.561
2pi+,181.654
2pi+,181.654
2pi+,181.654
pi-,1500.14
pi-,1500.14
2pi-,1499.21
2pi-,1499.21
pi+,374.229
pi+,374.229
2mu+,394.576
2mu+,394.576
mu+,414.8
mu+,414.8
2mu+,412.737
2mu+,412.737
pi-,566.271
pi-,566.271
2pi-,564.914
2pi-,564.914
pi-,476.685
pi-,476.685
2mu-,336.482
2mu-,336.482
pi-,405.077
pi-,405.077
2pi-,403.004
2pi-,403.004
pi+,605.041
pi+,605.041
2pi+,603.723
2pi+,603.723
pi+,173.772
pi+,173.772
pi+,173.772
2mu+,102.779
2mu+,102.779
2mu+,102.779
pi+,325.568
pi+,325.568
2mu+,212.318
2mu+,212.318
2mu+,212.318
pi-,401.703
pi-,401.703
2pi-,400.178
2pi-,400.178
pi-,196.044
pi-,196.044
pi-,196.044
2pi-,194.662
2pi-,194.662
2pi-,194.662
pi+,169.361
pi+,169.361
pi+,169.361
2mu+,175.725
2mu+,175.725
2mu+,175.725
pi-,343.371
pi-,343.371
2pi-,340.318
2pi-,340.318
mu-,360.971
mu-,360.971
2mu-,359.539
2mu-,359.539
pi-,202.554
pi-,202.554
pi-,202.554
2pi-,201.526
2pi-,201.526
2pi-,201.526
pi+,451.172
pi+,451.172
2pi+,449.815
2pi+,449.815
pi+,360.476
pi+,360.476
2pi+,359.186
2pi+,359.186
pi-,299.917
pi-,299.917
2pi-,298.654
2pi-,298.654
pi-,496.46
pi-,496.46
2pi-,495.465
2pi-,495.465
pi-,798.926
pi-,798.926
2mu-,517.764
2mu-,517.764
pi+,278.152
pi+,278.152
2mu+,182.667
2mu+,182.667
2mu+,182.667
mu-,1172.96
mu-,1172.96
2mu-,1171.63
2mu-,1171.63
pi-,394.805
pi-,394.805
2pi-,393.506
2pi-,393.506
pi-,339.963
pi-,339.963
2pi-,338.639
2pi-,338.639
pi+,427.094
pi+,427.094
2pi+,425.926
2pi+,425.926
pi-,990.859
pi-,990.859
2pi-,989.964
2pi-,989.964
pi-,265.312
pi-,265.312
2pi-,263.681
2pi-,263.681
pi-,812.678
pi-,812.678
2pi-,811.828
2pi-,811.828
pi+,617.058
pi+,617.058
2pi+,616.226
2pi+,616.226
2pi-,64.6838
2pi-,64.6838
2pi-,64.6838
mu-,25.9835
mu-,25.9835
mu-,25.9835
pi-,935.978
pi-,935.978
2pi-,934.975
2pi-,934.975
pi+,702.114
pi+,702.114
2pi+,700.91
2pi+,700.91
pi-,191.591
pi-,191.591
pi-,191.591
2pi-,190.468
2pi-,190.468
2pi-,190.468
pi+,471.168
pi+,471.168
2pi+,469.639
2pi+,469.639
pi-,295.925
pi-,295.925
2mu-,202.124
2mu-,202.124
2mu-,202.124
pi-,565.297
pi-,565.297
2pi-,564.338
2pi-,564.338
pi-,215.266
pi-,215.266
pi-,215.266
2pi-,214.094
2pi-,214.094
2pi-,214.094
pi-,258.074
pi-,258.074
pi-,258.074
2mu-,132.947
2mu-,132.947
2mu-,132.947
pi-,578.009
pi-,578.009
2pi-,577.122
2pi-,577.122
pi-,1497.56
pi-,1497.56
2pi-,1496.49
2pi-,1496.49
pi-,759.87
pi-,759.87
2pi-,758.913
2pi-,758.913
pi+,378.905
pi+,378.905
2mu+,219.781
2mu+,219.781
2mu+,219.781
pi-,380.771
pi-,380.771
2pi-,379.824
2pi-,379.824
pi+,798.373
pi+,798.373
2pi+,797.218
2pi+,797.218
pi+,300.507
pi+,300.507
2pi+,299.35
2pi+,299.35
pi-,391.062
